datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2021/01/03 05:12:00,NOAA-20,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,,,,-18.7546,-55.8353,1.3
2021/01/03 02:15:00,METOP-B,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4118,-57.4655,
2021/01/03 02:15:00,METOP-B,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4023,-57.4684,
2021/01/03 02:15:01,METOP-B,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4508,-57.9716,
2021/01/03 06:00:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4516,-57.9806,2.1
2021/01/03 06:00:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4576,-57.9967,2.8
2021/01/03 06:00:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4589,-57.9813,2.1
2021/01/03 06:00:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4656,-57.9897,2.1
2021/01/03 06:00:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4663,-57.9820,2.1
2021/01/03 04:18:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.9346,-57.6680,2.7
2021/01/03 04:18:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.9355,-57.6640,2.8
2021/01/03 04:18:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.9758,-58.3809,6.3
2021/01/03 04:18:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4495,-57.9849,2
2021/01/03 04:18:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4552,-57.9863,2.2
2021/01/03 04:18:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4561,-57.9822,2.2
2021/01/03 04:18:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4570,-57.9780,1.7
2021/01/03 04:18:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4579,-57.9739,1.7
2021/01/03 04:18:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4583,-58.0001,4.9
2021/01/03 04:18:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4588,-57.9698,2.6
2021/01/03 04:18:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4592,-57.9959,3.3
2021/01/03 04:18:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4601,-57.9918,3.3
2021/01/03 04:18:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4618,-57.9835,2.2
2021/01/03 04:18:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4627,-57.9794,1.7
2021/01/03 04:18:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4649,-57.9973,1.1
2021/01/03 04:18:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4658,-57.9932,1.1
2021/01/03 04:18:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4666,-57.9890,1.4
2021/01/03 04:18:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4675,-57.9849,1.4
2021/01/03 04:18:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4684,-57.9808,1.5
2021/01/03 04:18:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4715,-57.9945,1.1
2021/01/03 04:18:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4723,-57.9904,1.4
2021/01/03 03:10:00,TERRA_M-M,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4110,-57.4780,51.4
